Github username,Rank,points
Pratik-Sarkate,1,50
karankc23,2,45
Pratik-Sarkate,3,40
User,4,35
hotblooded058,5,30
anushh23,6,25
Shailesh Tiwari,7,20
Taetae,8,15
AmbikeshArman,9,10
User,10,10
Aashita Chouhan,11,10
Palak-2109,12,10
Tanushree,13,10
Garvit Chittora,14,10
Krishna3267,15,10
anirudhhhh,16,10
infloop,17,10
MANAV AGARWAL,18,10
Prajjwal Bhatt,19,10
User,20,10
Priyal Saxena,21,10
Ksathwik03,22,10
